"asi","county","state","X","Y","year","index"
12.0625,"Eureka","Nevada",-116.379,40.788,1989,295
10.6875,"Eureka","Nevada",-116.372,40.892,1989,296
20.9375,"Eureka","Nevada",-116.384,39.313,1989,297
12.75,"Eureka","Nevada",-116.358,39.864,1989,298
18.5,"Eureka","Nevada",-115.96,39.572,1989,300
10.5,"Eureka","Nevada",-116.232,40.262,1989,301
11,"Eureka","Nevada",-116.273,40.264,1989,302
19.75,"Eureka","Nevada",-116.487,39.735,1989,303
19.5,"Eureka","Nevada",-116.394,39.566,1989,304
20.6875,"Eureka","Nevada",-116.49,39.727,1989,305
13.125,"Eureka","Nevada",-116.228,40.286,1989,307
20.1875,"Eureka","Nevada",-116.208,40.549,1989,308
19.75,"Eureka","Nevada",-116.183,39.674,1989,309
8.9375,"Eureka","Nevada",-116.41,40.467,1989,310
26.375,"Eureka","Nevada",-116.481,39.683,1989,311
18.25,"Eureka","Nevada",-115.924,39.437,1989,312
18,"Eureka","Nevada",-116.364,40.31,1989,313
25.75,"Eureka","Nevada",-116.103,39.311,1989,314
29.0625,"Eureka","Nevada",-116.402,39.799,1989,315
17.5,"Eureka","Nevada",-116.313,39.211,1989,316
17.8125,"Eureka","Nevada",-116.459,40.783,1989,317
10.9375,"Eureka","Nevada",-116.181,40.077,1989,319
28.125,"Eureka","Nevada",-116.44,39.87,1989,320
25.8125,"Plumas","California",-120.371,40.084,1989,322
24.6875,"Plumas","California",-120.54,40.022,1989,324
18.1875,"Plumas","California",-120.539,40.136,1989,326
15.25,"Plumas","California",-120.29,40.107,1989,327
38.625,"Plumas","California",-120.425,39.878,1989,330
24.5625,"Plumas","California",-120.245,39.966,1989,336
42,"Plumas","California",-120.577,39.861,1989,337
10.1875,"Plumas","California",-120.264,39.912,1989,339
32,"Plumas","California",-120.299,39.82,1989,340
48.9375,"Plumas","California",-120.515,40.135,1989,341
44.25,"Plumas","California",-120.371,39.9,1989,343
34.5625,"Plumas","California",-120.23,39.911,1989,344
21.4375,"Plumas","California",-120.212,39.831,1989,346
39.8125,"Plumas","California",-120.569,40.031,1989,348
31,"Plumas","California",-120.228,39.78,1989,350
26.4375,"Plumas","California",-120.473,40.191,1989,352
19.5625,"White Pine","Nevada",-115.309,39.227,1989,354
16.1875,"White Pine","Nevada",-115.284,39.212,1989,355
23.3125,"White Pine","Nevada",-114.535,38.926,1989,356
28.6875,"White Pine","Nevada",-114.743,39.334,1989,357
18.625,"White Pine","Nevada",-115.745,40.013,1989,358
12.3125,"White Pine","Nevada",-114.302,39.771,1989,359
15.0625,"White Pine","Nevada",-114.706,39.761,1989,361
21.625,"White Pine","Nevada",-115.826,39.256,1989,362
15.3125,"White Pine","Nevada",-115.04,39.714,1989,363
9.1875,"White Pine","Nevada",-115.739,39.956,1989,364
20.875,"White Pine","Nevada",-115.626,39.483,1989,366
24.625,"White Pine","Nevada",-115.037,39.413,1989,367
27.0625,"White Pine","Nevada",-115.398,39.457,1989,368
10.25,"White Pine","Nevada",-114.124,39.474,1989,371
9.4375,"White Pine","Nevada",-115.582,39.905,1989,373
2.25,"White Pine","Nevada",-114.301,38.933,1989,374
13.75,"White Pine","Nevada",-114.053,39.344,1989,376
20.9375,"White Pine","Nevada",-115.692,39.692,1989,378
26.6875,"White Pine","Nevada",-115.545,39.967,1989,379
20.6875,"White Pine","Nevada",-114.81,39.329,1989,380
12.75,"White Pine","Nevada",-114.099,38.922,1989,383
26.5625,"White Pine","Nevada",-115.332,38.865,1989,384
13.9375,"White Pine","Nevada",-114.83,39.804,1989,385
24.0625,"White Pine","Nevada",-115.25,39.066,1989,387
17.125,"White Pine","Nevada",-115.204,39.771,1989,388
12.4375,"White Pine","Nevada",-115.593,39.029,1989,389
13.5,"White Pine","Nevada",-114.767,40.086,1989,390
10.25,"White Pine","Nevada",-115.365,39.79,1989,392
11.125,"White Pine","Nevada",-115.416,39.689,1989,393
16.75,"White Pine","Nevada",-114.133,39.843,1989,394
15.9375,"White Pine","Nevada",-115.056,40.109,1989,396
14.0625,"White Pine","Nevada",-115.201,39.901,1989,397
23.75,"White Pine","Nevada",-114.881,39.061,1989,398
14.375,"White Pine","Nevada",-114.564,38.723,1989,399
24.4375,"White Pine","Nevada",-115.108,40.095,1989,400
11.75,"White Pine","Nevada",-114.107,38.85,1989,401
27.75,"White Pine","Nevada",-114.874,39.038,1989,402
23.4375,"White Pine","Nevada",-114.156,39.174,1989,403
21,"White Pine","Nevada",-115.771,39.939,1989,404
7.25,"White Pine","Nevada",-114.448,39.124,1989,405
8.875,"White Pine","Nevada",-114.321,39.733,1989,407
